Production Budget,Worldwide Gross,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
425000000.0,2783918982.0,723.0,178.0,0.0,855.0,1000.0,760505847.0,886204.0,4834.0,0.0,3054.0,237000000.0,2009.0,936.0,79.0,178.0,33000.0
410600000.0,1045663875.0,448.0,136.0,252.0,1000.0,40000.0,241063875.0,370704.0,54083.0,4.0,484.0,250000000.0,2011.0,11000.0,67.0,235.0,58000.0
330600000.0,1408218722.0,635.0,141.0,0.0,19000.0,26000.0,458991599.0,462669.0,92000.0,4.0,1117.0,250000000.0,2015.0,21000.0,75.0,235.0,118000.0
306000000.0,2058662225.0,1182331112.5,1182331112.5,1182331112.5,1182331112.5,1182331112.5,1182331112.5,1182331112.5,1182331112.5,1182331112.5,1182331112.5,1182331112.5,1182331112.5,1182331112.5,1182331112.5,1182331112.5,1182331112.5
300000000.0,963420425.0,631710212.5,631710212.5,631710212.5,631710212.5,631710212.5,631710212.5,631710212.5,631710212.5,631710212.5,631710212.5,631710212.5,631710212.5,631710212.5,631710212.5,631710212.5,631710212.5
300000000.0,879620923.0,602.0,148.0,0.0,161.0,11000.0,200074175.0,275868.0,11700.0,1.0,994.0,245000000.0,2015.0,393.0,68.0,235.0,85000.0
275000000.0,1084439099.0,813.0,164.0,22000.0,23000.0,27000.0,448130642.0,1144337.0,106759.0,0.0,2701.0,250000000.0,2012.0,23000.0,85.0,235.0,164000.0
275000000.0,260002115.0,450.0,150.0,563.0,1000.0,40000.0,89289910.0,181792.0,45757.0,1.0,711.0,215000000.0,2013.0,2000.0,65.0,235.0,48000.0
275000000.0,282778100.0,462.0,132.0,475.0,530.0,640.0,73058679.0,212204.0,1873.0,1.0,738.0,263700000.0,2012.0,632.0,66.0,235.0,24000.0
260000000.0,586581936.0,324.0,100.0,15.0,284.0,799.0,200807262.0,294810.0,2036.0,1.0,387.0,260000000.0,2010.0,553.0,78.0,185.0,29000.0
258000000.0,894860230.0,392.0,156.0,0.0,4000.0,24000.0,336530303.0,383056.0,46055.0,0.0,1902.0,258000000.0,2007.0,11000.0,62.0,235.0,0.0
250000000.0,1153304495.0,516.0,147.0,94.0,11000.0,21000.0,407197282.0,272670.0,64798.0,0.0,1022.0,250000000.0,2016.0,19000.0,82.0,235.0,72000.0
250000000.0,868160194.0,673.0,183.0,0.0,2000.0,15000.0,330249062.0,371639.0,24450.0,0.0,3018.0,250000000.0,2016.0,4000.0,69.0,235.0,197000.0
250000000.0,1017003568.0,645.0,182.0,0.0,773.0,5000.0,303001229.0,637246.0,9152.0,102989909.41176471,1367.0,180000000.0,2012.0,972.0,79.0,235.0,166000.0
250000000.0,935083686.0,375.0,153.0,282.0,10000.0,25000.0,301956980.0,321795.0,58753.0,3.0,973.0,250000000.0,2009.0,11000.0,75.0,235.0,10000.0
250000000.0,960366855.0,509.0,186.0,0.0,773.0,5000.0,258355354.0,483540.0,9152.0,6.0,951.0,225000000.0,2013.0,972.0,79.0,235.0,83000.0
250000000.0,955119788.0,422.0,164.0,0.0,773.0,5000.0,255108370.0,354228.0,9152.0,0.0,802.0,250000000.0,2014.0,972.0,75.0,235.0,65000.0
250000000.0,1237444462.0,743722231.0,743722231.0,743722231.0,743722231.0,743722231.0,743722231.0,743722231.0,743722231.0,743722231.0,743722231.0,743722231.0,743722231.0,743722231.0,743722231.0,743722231.0,743722231.0
232000000.0,374085065.0,434.0,169.0,0.0,903.0,18000.0,200069408.0,240396.0,29991.0,0.0,2367.0,209000000.0,2006.0,10000.0,61.0,235.0,0.0
230000000.0,784610092.0,507305046.0,507305046.0,507305046.0,507305046.0,507305046.0,507305046.0,507305046.0,507305046.0,507305046.0,507305046.0,507305046.0,507305046.0,507305046.0,507305046.0,507305046.0,507305046.0
230000000.0,591692078.0,403.0,106.0,395.0,393.0,451.0,168368427.0,330784.0,2023.0,1.0,1243.0,200000000.0,2008.0,412.0,67.0,235.0,0.0
225000000.0,1519479547.0,703.0,173.0,0.0,19000.0,26000.0,623279547.0,995415.0,87697.0,3.0,1722.0,220000000.0,2012.0,21000.0,81.0,185.0,123000.0
225000000.0,1066215812.0,645607906.0,645607906.0,645607906.0,645607906.0,645607906.0,645607906.0,645607906.0,645607906.0,645607906.0,645607906.0,645607906.0,645607906.0,645607906.0,645607906.0,645607906.0,645607906.0
225000000.0,667999518.0,733.0,143.0,0.0,748.0,15000.0,291021565.0,548573.0,20495.0,0.0,2536.0,225000000.0,2013.0,3000.0,72.0,235.0,118000.0
225000000.0,417341288.0,258.0,150.0,80.0,201.0,22000.0,141614023.0,149922.0,22697.0,4.0,438.0,225000000.0,2008.0,216.0,66.0,235.0,0.0
220000000.0,757890267.0,599.0,153.0,464.0,963.0,15000.0,262030663.0,451803.0,28489.0,0.0,1225.0,230000000.0,2012.0,10000.0,70.0,235.0,56000.0
217000000.0,603968683.0,410484341.5,410484341.5,410484341.5,410484341.5,410484341.5,410484341.5,410484341.5,410484341.5,410484341.5,410484341.5,410484341.5,410484341.5,410484341.5,410484341.5,410484341.5,410484341.5
215000000.0,1671640593.0,644.0,124.0,365.0,1000.0,3000.0,652177271.0,418214.0,8458.0,0.0,1290.0,150000000.0,2015.0,2000.0,70.0,20.0,150000.0
