Índice;Release Date;Movie;Production Budget;Domestic Gross;Worldwide Gross
0;12/18/2009;Avatar;$425.000.000;$760.507.625;$2.783.918.982
1;5/20/2011;Pirates of the Caribbean: On Stranger Tides;$410.600.000;$241.063.875;$1.045.663.875
2;5/1/2015;Avengers: Age of Ultron;$330.600.000;$459.005.868;$1.408.218.722
3;12/18/2015;Star Wars Ep. VII: The Force Awakens;$306.000.000;$936.662.225;$2.058.662.225
4;5/24/2007;Pirates of the Caribbean: At World’s End;$300.000.000;$309.420.425;$963.420.425
5;11/6/2015;Spectre;$300.000.000;$200.074.175;$879.620.923
6;7/20/2012;The Dark Knight Rises;$275.000.000;$448.139.099;$1.084.439.099
7;7/2/2013;The Lone Ranger;$275.000.000;$89.302.115;$260.002.115
8;3/9/2012;John Carter;$275.000.000;$73.058.679;$282.778.100
9;11/24/2010;Tangled;$260.000.000;$200.821.936;$586.581.936
10;5/4/2007;Spider,Man 3;$258.000.000;$336.530.303;$894.860.230
11;5/6/2016;Captain America: Civil War;$250.000.000;$408.084.349;$1.153.304.495
12;3/25/2016;Batman v Superman: Dawn of Justice;$250.000.000;$330.360.194;$868.160.194
13;12/14/2012;The Hobbit: An Unexpected Journey;$250.000.000;$303.003.568;$1.017.003.568
14;7/15/2009;Harry Potter and the Half,Blood Prince;$250.000.000;$301.959.197;$935.083.686
15;12/13/2013;The Hobbit: The Desolation of Smaug;$250.000.000;$258.366.855;$960.366.855
16;12/17/2014;The Hobbit: The Battle of the Five Armies;$250.000.000;$255.119.788;$955.119.788
17;4/14/2017;The Fate of the Furious;$250.000.000;$225.764.765;$1.237.444.462
18;6/28/2006;Superman Returns;$232.000.000;$200.120.000;$374.085.065
19;5/26/2017;Pirates of the Caribbean: Dead Men Tell No Tales;$230.000.000;$172.558.876;$784.610.092
20;11/14/2008;Quantum of Solace;$230.000.000;$169.368.427;$591.692.078
21;5/4/2012;The Avengers;$225.000.000;$623.279.547;$1.519.479.547
