Release Date;Movie;Production Budget;Domestic Gross;Worldwide Gross
12/18/2009;Avatar;425000000;760507625;2783918982
5/20/2011;Pirates of the Caribbean: On Stranger Tides;410600000;241063875;1045663875
5/1/2015;Avengers: Age of Ultron;330600000;459005868;1408218722
12/18/2015;Star Wars Ep. VII: The Force Awakens;306000000;936662225;2058662225
5/24/2007;Pirates of the Caribbean: At World’s End;300000000;309420425;963420425
11/6/2015;Spectre;300000000;200074175;879620923
7/20/2012;The Dark Knight Rises;275000000;448139099;1084439099
7/2/2013;The Lone Ranger;275000000;89302115;260002115
3/9/2012;John Carter;275000000;73058679;282778100
11/24/2010;Tangled;260000000;200821936;586581936
5/4/2007;Spider-Man 3;258000000;336530303;894860230
5/6/2016;Captain America: Civil War;250000000;408084349;1153304495
3/25/2016;Batman v Superman: Dawn of Justice;250000000;330360194;868160194
12/14/2012;The Hobbit: An Unexpected Journey;250000000;303003568;1017003568
7/15/2009;Harry Potter and the Half-Blood Prince;250000000;301959197;935083686
12/13/2013;The Hobbit: The Desolation of Smaug;250000000;258366855;960366855
12/17/2014;The Hobbit: The Battle of the Five Armies;250000000;255119788;955119788
4/14/2017;The Fate of the Furious;250000000;225764765;1237444462
6/28/2006;Superman Returns;232000000;200120000;374085065
5/26/2017;Pirates of the Caribbean: Dead Men Tell No Tales;230000000;172558876;784610092
11/14/2008;Quantum of Solace;230000000;169368427;591692078
5/4/2012;The Avengers;225000000;623279547;1519479547
7/7/2006;Pirates of the Caribbean: Dead Man’s Chest;225000000;423315812;1066215812
6/14/2013;Man of Steel;225000000;291045518;667999518
5/16/2008;The Chronicles of Narnia: Prince Caspian;225000000;141621490;417341288
7/3/2012;The Amazing Spider-Man;220000000;262030663;757890267
6/21/2017;Transformers: The Last Knight;217000000;130168683;603968683
6/12/2015;Jurassic World;215000000;652198010;1671640593
5/25/2012;Men in Black 3;215000000;179020854;654213485
6/24/2009;Transformers: Revenge of the Fallen;210000000;402111870;836519699
6/27/2014;Transformers: Age of Extinction;210000000;245439076;1104039076
5/26/2006;X-Men: The Last Stand;210000000;234362462;459260946
5/14/2010;Robin Hood;210000000;105269730;322241588
5/18/2012;Battleship;209000000;65233400;305218228
12/14/2005;King Kong;207000000;218080025;550517357
12/7/2007;The Golden Compass;205000000;70107728;367262558
12/19/1997;Titanic;200000000;658672302;2207615668
12/16/2016;Rogue One: A Star Wars Story;200000000;532177324;1050988488
6/17/2016;Finding Dory;200000000;486295561;1022617376
6/18/2010;Toy Story 3;200000000;415004880;1069818229
5/3/2013;Iron Man 3;200000000;408992272;1215392272
5/5/2017;Guardians of the Galaxy Vol 2;200000000;389813101;860477263
6/30/2004;Spider-Man 2;200000000;373524485;795110670
3/5/2010;Alice in Wonderland;200000000;334191110;1025491110
11/8/2012;Skyfall;200000000;304360277;1110526981
6/21/2013;Monsters University;200000000;268488329;743588329
3/8/2013;Oz the Great and Powerful;200000000;234770996;490359051
5/23/2014;X-Men: Days of Future Past;200000000;233921534;747862775
5/2/2014;The Amazing Spider-Man 2;200000000;202853933;708996336
6/24/2011;Cars 2;200000000;191450875;560155383
12/17/2010;Tron: Legacy;200000000;172062763;400062763
11/13/2009;2012;200000000;166112167;788408539
5/21/2009;Terminator Salvation;200000000;125322469;365491792
6/17/2011;Green Lantern;200000000;116601172;219535492
5/28/2010;Prince of Persia: Sands of Time;200000000;90759676;314594597
6/29/2011;Transformers: Dark of the Moon;195000000;352390543;1123790543
6/9/2017;The Mummy;195000000;80101125;409076392
3/1/2013;Jack the Giant Slayer;195000000;65187603;197687603
4/3/2015;Furious 7;190000000;351032910;1516748684
5/16/2013;Star Trek Into Darkness;190000000;228778661;467381584
6/21/2013;World War Z;190000000;202359711;531514650
5/10/2013;The Great Gatsby;190000000;144840419;351040419
11/6/2009;Disney's A Christmas Carol;190000000;137855863;315709697
7/12/2013;Pacific Rim;190000000;101802906;411002906
11/25/2015;The Good Dinosaur;187500000;123087120;334342692
5/2/2008;Iron Man;186000000;318604126;585171547
7/18/2008;The Dark Knight;185000000;533345358;1001620618
5/22/2008;Indiana Jones and the Kingdom of the Crystal Skull;185000000;317023851;786558145
6/22/2012;Brave;185000000;237282182;554606532
3/10/2017;Kong: Skull Island;185000000;168052812;561137727
7/22/2016;Star Trek Beyond;185000000;158848340;336398312
10/6/2017;Blade Runner 2049;185000000;85456130;229159894
12/9/2005;The Chronicles of Narnia: The Lion- the Witch and the Wardrobe;180000000;291710957;720539572
5/30/2014;Maleficent;180000000;241407328;758536735
11/18/2016;Fantastic Beasts and Where to Find Them;180000000;234037575;803798342
6/27/2008;WALL-E;180000000;223808164;532590994
8/10/2007;Rush Hour 3;180000000;140125968;256585882
7/1/2016;The Legend of Tarzan;180000000;126643061;349143061
11/3/2017;Thor: Ragnarok;180000000;121005000;427005000
11/23/2011;Hugo;180000000;73864507;180047784
7/21/2017;Valerian and the City of a Thousand Planets;180000000;40479370;215116144
2/6/2015;Jupiter Ascending;179000000;47482519;181982519
5/27/2016;X-Men: Apocalypse;178000000;155442489;542742489
6/6/2014;Edge of Tomorrow;178000000;100206256;370541256
4/15/2016;The Jungle Book;175000000;364001123;963901123
6/19/2015;Inside Out;175000000;356461711;853707581
7/7/2017;Spider-Man: Homecoming;175000000;333919623;879380251
8/5/2016;Suicide Squad;175000000;325100054;746100054
5/29/2009;Up;175000000;293004164;731542621
3/27/2009;Monsters vs. Aliens;175000000;198351526;381687380
8/7/2009;G.I. Joe: The Rise of Cobra;175000000;150201498;302469017
6/30/1999;Wild Wild West;175000000;113805681;221229335
8/1/2008;The Mummy: Tomb of the Dragon Emperor;175000000;102491776;405760225
6/22/2007;Evan Almighty;175000000;100289690;174131329
7/28/1995;Waterworld;175000000;88246220;264246220
5/12/2017;King Arthur: Legend of the Sword;175000000;39175066;140012608
12/25/2013;47 Ronin;175000000;38362475;151716815
12/31/2020;Singularity;175000000;0;0
8/1/2014;Guardians of the Galaxy;170000000;333172112;771051335
5/7/2010;Iron Man 2;170000000;312433331;621156389
4/4/2014;Captain America: The Winter Soldier;170000000;259746958;714401889
7/11/2014;Dawn of the Planet of the Apes;170000000;208545589;710644566
11/10/2004;The Polar Express;170000000;194949659;319090241
6/1/2012;Snow White and the Huntsman;170000000;155136755;401021746
7/1/2003;Terminator 3: Rise of the Machines;170000000;150358296;433058296
5/7/2004;Van Helsing;170000000;120150546;300150546
5/22/2015;Tomorrowland;170000000;93436322;207283457
5/27/2016;Alice Through the Looking Glass;170000000;77042381;277442381
5/21/2010;Shrek Forever After;165000000;238736787;756244673
11/4/2016;Doctor Strange;165000000;232641920;677541920
11/7/2014;Big Hero 6;165000000;222527828;652127828
3/26/2010;How to Train Your Dragon;165000000;217581231;494870991
11/2/2012;Wreck-It Ralph;165000000;189412677;496511521
11/5/2014;Interstellar;165000000;188017894;667752422
6/24/2016;Independence Day: Resurgence;165000000;103144286;387644286
7/29/2011;Cowboys and Aliens;163000000;100240551;175910315
3/17/2017;Beauty and the Beast;160000000;504014165;1257523876
5/17/2007;Shrek the Third;160000000;322719944;807330936
7/16/2010;Inception;160000000;292576195;832402082
11/20/2015;The Hunger Games: Mockingjay - Part 2;160000000;281723902;650523427
5/24/2013;Fast and Furious 6;160000000;238679850;789300444
5/16/2014;Godzilla;160000000;200676069;529076069
6/3/2011;X-Men: First Class;160000000;146408305;355408305
12/25/2008;The Curious Case of Benjamin Button;160000000;127509326;329809326
7/14/2010;The Sorcerer's Apprentice;160000000;63150991;217986320
5/12/2006;Poseidon;160000000;60674817;181674817
6/10/2016;Warcraft;160000000;47225655;433125655
